Iteration   Continuity  Energy  
632        0.0331918       0.044084
633        0.0273243       0.0369343
634        0.0287934       0.042812
635        0.056378       0.0725758
636        0.0377545       0.0470537
637        0.0228682       0.0350505
638        0.0338891       0.0433939
639        0.0367296       0.0449454
640        0.0349487       0.0430092
641        0.0243787       0.0362227
642        0.0345925       0.0440435
643        0.0537268       0.0688686
644        0.0343893       0.0425523
645        0.0337693       0.0427155
646        0.0301867       0.037253
647        0.0211895       0.034791
648        0.0346861       0.043016
649        0.0357793       0.0450732
650        0.0245381       0.0348131
651        0.0366342       0.0494553
652        0.0353406       0.046684
653        0.0210048       0.0363023
654        0.0305687       0.0370157
655        0.0356511       0.0458351
656        0.031247       0.040112
657        0.0484689       0.0625399
658        0.0350037       0.0446662
659        0.0352033       0.0413698
660        0.0316217       0.0380142
661        0.0339353       0.0436587
662        0.0281387       0.0371857
663        0.0360918       0.049565
664        0.0222607       0.0334643
665        0.0372399       0.05051
666        0.0379262       0.0463194
667        0.0271045       0.0379808
668        0.0450808       0.058549
669        0.0227177       0.0364129
670        0.0291507       0.0358875
671        0.0366146       0.0487672
672        0.0371158       0.0448504
673        0.0356338       0.048189
674        0.0240716       0.0371503
675        0.0428214       0.0529983
676        0.0255626       0.0328474
677        0.0357622       0.0476276
678        0.0367118       0.0502919
679        0.0281956       0.0380509
680        0.0292003       0.0372394
681        0.0221501       0.0392279
682        0.0247832       0.0345351
683        0.0384926       0.0531006
684        0.0402569       0.0523912
685        0.0391503       0.0478065
686        0.0463931       0.0362073
687        0.0437552       0.0550952
688        0.0285236       0.0373584
689        0.0461527       0.0385023
690        0.0386764       0.0496697
691        0.0434561       0.058307
692        0.0275427       0.0399037
693        0.0251791       0.038669
694        0.0274723       0.039577
695        0.0353488       0.0505725
696        0.0465866       0.0613339
697        0.0295282       0.0419403
698        0.0286513       0.034084
699        0.0296764       0.0375024
700        0.0379079       0.0499396
701        0.0389829       0.066424
702        0.0355425       0.0447805
703        0.0375583       0.048044
704        0.0492804       0.0641079
705        0.0416251       0.0522904
706        0.0353175       0.0508572
707        0.0568443       0.0756892
708        0.0337034       0.0420754
709        0.0368703       0.0504242
710        0.0290195       0.0357771
711        0.0415672       0.054207
712        0.0403596       0.048131
713        0.0443727       0.0566718
714        0.0527508       0.0713903
715        0.0321714       0.0416272
716        0.023456       0.0325929
717        0.0296807       0.0427346
718        0.0420057       0.0563432
719        0.0525123       0.0755936
720        0.0416416       0.0520194
721        0.0318634       0.0474793
722        0.0497388       0.0662149
723        0.030206       0.0382969
724        0.0382611       0.0489769
725        0.0387008       0.047674
726        0.0485021       0.0675324
727        0.0509915       0.0701617
728        0.0402368       0.0496558
729        0.0461004       0.0591142
730        0.0362001       0.0404796
731        0.065199       0.0732918
732        0.034919       0.0462455
733        0.0457261       0.0615113
734        0.0489844       0.0664866
735        0.0417558       0.0589157
736        0.0245043       0.0318409
737        0.0472623       0.0613895
738        0.0599294       0.0810384
739        0.050734       0.062723
740        0.0360768       0.0424291
741        0.048559       0.0639364
742        0.0367762       0.0469487
743        0.0484909       0.0572863
744        0.0417518       0.0559088
745        0.045559       0.0576087
746        0.0433672       0.0581843
747        0.0487716       0.0592424
748        0.0590565       0.0757873
749        0.0507858       0.0605984
750        0.0472907       0.063012
751        0.0477146       0.0587301
752        0.0471162       0.0539123
753        0.0427577       0.0547639
754        0.0550721       0.0575656
